Category1	Category2	Category3	库存状态	Brand	Seller	Asin	ItemType	ProductType	Title	ItemUrl	Feature1	Feature2	Feature3	Feature4	Feature5	DetailFeatures	Description	MainImg	OtherImg1	OtherImg2	OtherImg3	OtherImg4	Price	Ship_Price	采购价	售价	ItemRating	Reviews	SellerUrl
Computer Hardware	Computer Accessories	CPU Accessories	1	Qin Bo Electronics	DSHL	9SIA3XT1R66855	computer-internal-cpu-fans	PowerSuppliesOrProtection	Radiator with 4.8-6V Cooling Fan for 1/10 Car 54540/550 3650 Size Motor Black	http://www.newegg.com/Product/Product.aspx?Item=9SIA3XT1R66855							<p>Note: The color of the item may vary slightly due to photography and your own computer<br>Features:<br>this heatsink is suitable for 540/550/3650 size motor, with a 4.8-6V cooling fan to protect your motor. The cooling fan can power up from the receiver, very easy to use.<br>Color: Black<br>Dimensions of fan: Approx.1.18x1.18x0.39 inch/ 30x30x10mm<br>Total size:5.5x3x3cm/2.17x1.18x1.18 inch<br>Materials: Aluminum Alloy,plastic<br>Weight:25g<br><br>Package Included:<br>1X Heatsink  <br>	http://images10.newegg.com/ProductImageOriginal/A3XT_1_20140626553071901.jpg?w=1280&h=960&wm=true	http://images10.newegg.com/ProductImageCompressAll35/A3XT_1_20140626553071901.jpg	http://images10.newegg.com/ProductImageCompressAll35/A3XT_1_20140626553071902.jpg	http://images10.newegg.com/ProductImageCompressAll35/A3XT_1_20140626553071903.jpg		7.06	0	7.06	10.59	0	0	http://www.newegg.com/DSHL
Computer Hardware	Computer Accessories	CPU Accessories	1	Qin Bo Electronics	DSHL	9SIA3XT1R66854	computer-internal-cpu-fans	PowerSuppliesOrProtection	Purple Radiator with 4.8-6V Cooling Fan for 1/10 Car 54540/550 3650 Size Motor	http://www.newegg.com/Product/Product.aspx?Item=9SIA3XT1R66854							<p>Note: The color of the item may vary slightly due to photography and your own computer<br>Features:<br>this heatsink is suitable for 540/550/3650 size motor, with a 4.8-6V cooling fan to protect your motor. The cooling fan can power up from the receiver, very easy to use.<br>Color: Purple<br>Dimensions of fan: Approx.1.18x1.18x0.39 inch/ 30x30x10mm<br>Total size:3.5x3.2x4cm/1.38x1.26x1.57 inch<br>Materials: Aluminum Alloy,plastic<br>Weight:25g<br><br>Package Included:<br>1X Heatsink   <br>	http://images10.newegg.com/ProductImageOriginal/A3XT_1_20140626553071904.jpg?w=1280&h=960&wm=true	http://images10.newegg.com/ProductImageCompressAll35/A3XT_1_20140626553071904.jpg	http://images10.newegg.com/ProductImageCompressAll35/A3XT_1_20140626553071905.jpg	http://images10.newegg.com/ProductImageCompressAll35/A3XT_1_20140626553071906.jpg		7.06	0	7.06	10.59	0	0	http://www.newegg.com/DSHL
Computer Hardware	Computer Accessories	CPU Accessories	1	Aerospace Rainbow Model Technology	DSHL	9SIA3XT1JG1831	computer-internal-cpu-fans	PowerSuppliesOrProtection	Blue Radiator for 1/10 Car 540/550 3650 Size Motor with 4.8-6V Cooling Fan	http://www.newegg.com/Product/Product.aspx?Item=9SIA3XT1JG1831							<p>Note: The color of the item may vary slightly due to photography and your own computer<br>Features:<br>this heatsink is suitable for 540/550/3650 size motor, with a 4.8-6V cooling fan to protect your motor. The cooling fan can power up from the receiver, very easy to use.<br>Color: Blue<br>Dimensions of fan: Approx.1.18x1.18x0.39 inch/ 30x30x10mm<br>Dimensions of cooling fin:  Approx. 1.18x1.57 inch/ 30 x 40mm<br>Total Height: 1.97 inch / 50mm<br>Materials: Aluminum Alloy,plastic<br>Weight:25g<br><br>Package Included:<br>1X Heatsink<br>	http://images10.newegg.com/ProductImageOriginal/A3XT_1_20140508514981759.jpg?w=1280&h=960&wm=true	http://images10.newegg.com/ProductImageCompressAll35/A3XT_1_20140508514981759.jpg	http://images10.newegg.com/ProductImageCompressAll35/A3XT_1_20140508514981760.jpg			7.13	0	7.13	10.7	0	0	http://www.newegg.com/DSHL
